project	toggle	date
gitlab	dast_site_tokens	
gitlab	issue_metrics	
gitlab	compliance_requirements_controls	
gitlab	user_synced_attributes_metadata	
gitlab	slsa_attestations	
gitlab	security_finding_token_statuses	
gitlab	analytics_cycle_analytics_group_value_streams	
gitlab	cloud_connector_keys	
gitlab	ci_variables	
gitlab	release_links	
gitlab	system_note_metadata	
gitlab	packages_maven_metadata	
gitlab	ci_pipeline_schedules	
gitlab	group_scim_identities	
gitlab	users_security_dashboard_projects	
gitlab	routes	
gitlab	design_management_repositories	
gitlab	p_ci_pipelines	
gitlab	dast_sites	
gitlab	achievements	
gitlab	compliance_framework_security_policies	
gitlab	ip_restrictions	
gitlab	project_deploy_tokens	
gitlab	sbom_vulnerability_scans	
gitlab	vulnerability_export_uploads	
gitlab	zoekt_repositories	
gitlab	group_deletion_schedules	
gitlab	value_stream_dashboard_counts	
gitlab	issue_user_mentions	
gitlab	dependency_list_export_uploads	
gitlab	project_authorizations_for_migration	
gitlab	geo_event_log	
gitlab	catalog_verified_namespaces	
gitlab	container_repositories	
gitlab	elastic_reindexing_tasks	
gitlab	compromised_password_detections	
gitlab	p_ci_build_trace_metadata	
gitlab	ai_flow_triggers	
gitlab	ai_namespace_feature_settings	
gitlab	project_group_links	
gitlab	security_orchestration_policy_configurations	
gitlab	ci_gitlab_hosted_runner_monthly_usages	
gitlab	backup_vulnerability_external_issue_links	
gitlab	content_blocked_states	
gitlab	cells_outstanding_leases	
gitlab	design_management_designs	
gitlab	user_member_roles	
gitlab	user_group_callouts	
gitlab	project_relation_exports	
gitlab	subscription_user_add_on_assignment_versions	
gitlab	packages_terraform_module_metadata	
gitlab	vulnerability_namespace_historical_statistics	
gitlab	system_access_group_microsoft_graph_access_tokens	
gitlab	ai_settings	
gitlab	emails	
gitlab	design_user_mentions	
gitlab	ai_testing_terms_acceptances	
gitlab	dora_performance_scores	
gitlab	packages_conan_metadata	
gitlab	ci_deleted_objects	
gitlab	lfs_objects_projects	
gitlab	postgres_async_foreign_key_validations	
gitlab	upload_states	
gitlab	namespace_package_settings	
gitlab	project_topic_uploads	
gitlab	packages_nuget_dependency_link_metadata	
gitlab	ai_duo_chat_events	
gitlab	ci_build_needs	
gitlab	project_compliance_standards_adherence	
gitlab	merge_request_context_commit_diff_files	
gitlab	vulnerability_finding_risk_scores	
gitlab	namespace_ldap_settings	
gitlab	cluster_agent_tokens	
gitlab	project_metrics_settings	
gitlab	ci_runner_taggings_instance_type	
gitlab	topics	
gitlab	raw_usage_data	
gitlab	agent_organization_authorizations	
gitlab	analytics_cycle_analytics_value_stream_settings	
gitlab	audit_events_group_streaming_event_type_filters	
gitlab	p_ci_job_artifacts	
gitlab	user_permission_export_upload_uploads	
gitlab	external_approval_rules	
gitlab	resource_milestone_events	
gitlab	snippet_statistics	
gitlab	saved_replies	
gitlab	project_aliases	
gitlab	p_batched_git_ref_updates_deletions	
gitlab	project_features	
gitlab	iterations_cadences	
gitlab	merge_request_predictions	
gitlab	project_access_tokens	
gitlab	p_ci_job_definition_instances	
gitlab	project_settings	
